name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,4.7047047047047048e-02,1.7490000000000001e+02,1.7490000000336664e+02,2.9073302083635885e+04,2.9019580369878302e+04
branch0_seg0,4.8048048048048048e-02,1.7490000000000001e+02,1.7490000001320706e+02,2.9073302049286391e+04,2.9019580344420025e+04
branch0_seg0,4.9049049049049047e-02,1.7490000000000001e+02,1.7490000000765539e+02,2.9073302006608883e+04,2.9019580310690231e+04
branch0_seg0,5.0050050050050046e-02,1.7490000000000001e+02,1.7489999999476242e+02,2.9073302002087356e+04,2.9019580305880540e+04
branch0_seg0,5.1051051051051052e-02,1.7490000000000001e+02,1.7489999998928627e+02,2.9073302035037195e+04,2.9019580330668938e+04
branch0_seg0,5.2052052052052052e-02,1.7490000000000001e+02,1.7489999999611658e+02,2.9073302064759642e+04,2.9019580354222773e+04
branch0_seg0,5.3053053053053051e-02,1.7490000000000001e+02,1.7490000000609911e+02,2.9073302059871567e+04,2.9019580351680925e+04
branch0_seg0,5.4054054054054057e-02,1.7490000000000001e+02,1.7490000000800657e+02,2.9073302030864299e+04,2.9019580329644752e+04
branch0_seg0,5.5055055055055056e-02,1.7490000000000001e+02,1.7490000000109518e+02,2.9073302012406930e+04,2.9019580314526880e+04
branch0_seg0,5.6056056056056056e-02,1.7490000000000001e+02,1.7489999999411677e+02,2.9073302022459411e+04,2.9019580321409168e+04
branch0_seg0,5.7057057057057055e-02,1.7490000000000001e+02,1.7489999999443788e+02,2.9073302045951998e+04,2.9019580339627435e+04
branch0_seg0,5.8058058058058054e-02,1.7490000000000001e+02,1.7490000000059916e+02,2.9073302055940891e+04,2.9019580348058986e+04
branch0_seg0,5.9059059059059060e-02,1.7490000000000001e+02,1.7490000000522122e+02,2.9073302043830430e+04,2.9019580339212116e+04
branch0_seg0,6.0060060060060060e-02,1.7490000000000001e+02,1.7490000000360024e+02,2.9073302025772413e+04,2.9019580325121588e+04
branch0_seg0,6.1061061061061059e-02,1.7490000000000001e+02,1.7489999999836056e+02,2.9073302021927975e+04,2.9019580321577207e+04
branch0_seg0,6.2062062062062065e-02,1.7490000000000001e+02,1.7489999999565876e+02,2.9073302034295248e+04,2.9019580330757846e+04
branch0_seg0,6.3063063063063057e-02,1.7490000000000001e+02,1.7489999999801105e+02,2.9073302047208435e+04,2.9019580340974058e+04
branch0_seg0,6.4064064064064064e-02,1.7490000000000001e+02,1.7490000000211509e+02,2.9073302046815475e+04,2.9019580341189485e+04
branch0_seg0,6.5065065065065070e-02,1.7490000000000001e+02,1.7490000000333413e+02,2.9073302035589393e+04,2.9019580332676447e+04
branch0_seg0,6.6066066066066062e-02,1.7490000000000001e+02,1.7490000000083322e+02,2.9073302027114041e+04,2.9019580325823710e+04
branch0_seg0,6.7067067067067068e-02,1.7490000000000001e+02,1.7489999999782577e+02,2.9073302029967625e+04,2.9019580327682455e+04
branch0_seg0,6.8068068068068061e-02,1.7490000000000001e+02,1.7489999999757507e+02,2.9073302039420694e+04,2.9019580334951381e+04
branch0_seg0,6.9069069069069067e-02,1.7490000000000001e+02,1.7489999999994797e+02,2.9073302044425545e+04,2.9019580339073156e+04
branch0_seg0,7.0070070070070073e-02,1.7490000000000001e+02,1.7490000000202619e+02,2.9073302040301820e+04,2.9019580336138300e+04
branch0_seg0,7.1071071071071065e-02,1.7490000000000001e+02,1.7490000000162672e+02,2.9073302032817177e+04,2.9019580330334786e+04
branch0_seg0,7.2072072072072071e-02,1.7490000000000001e+02,1.7489999999955174e+02,2.9073302030467490e+04,2.9019580328274198e+04
branch0_seg0,7.3073073073073078e-02,1.7490000000000001e+02,1.7489999999827359e+02,2.9073302034973582e+04,2.9019580331588699e+04
branch0_seg0,7.4074074074074070e-02,1.7490000000000001e+02,1.7489999999902696e+02,2.9073302040490766e+04,2.9019580335937029e+04
branch0_seg0,7.5075075075075076e-02,1.7490000000000001e+02,1.7490000000069810e+02,2.9073302041000286e+04,2.9019580336530438e+04
